"Special Interest Profile, 2021 Census of Population"
"Geography: Windsor (City), Ontario [Census subdivision]"
"Age (16): Total - Age"

"Topic","Characteristic","Note","Total - Gender (1)","Total - Gender_Symb","Men+ (2)","Men+_Symb","Women+ (3)","Women+_Symb",
"Total income groups in 2020","Total - Total income groups in 2020 for the population aged 15 years and over in private households - 25% sample data",11,189865,"", 93590,"", 96275,"",
"Total income groups in 2020","  With total income",,180240,"", 88660,"", 91580,"",
"Total income groups in 2020","    Under $10,000 (including loss)",, 16840,"",  7065,"",  9770,"",
"Total income groups in 2020","    $10,000 to $19,999",, 24185,"", 10490,"", 13695,"",
"Total income groups in 2020","    $20,000 to $29,999",, 31575,"", 13730,"", 17840,"",
"Total income groups in 2020","    $30,000 to $39,999",, 26530,"", 11855,"", 14675,"",
"Total income groups in 2020","    $40,000 to $49,999",, 22665,"", 11560,"", 11105,"",
"Total income groups in 2020","    $50,000 to $59,999",, 16885,"",  8680,"",  8205,"",
"Total income groups in 2020","    $60,000 to $69,999",, 11330,"",  6155,"",  5170,"",
"Total income groups in 2020","    $70,000 to $79,999",,  8085,"",  4845,"",  3235,"",
"Total income groups in 2020","    $80,000 to $89,999",,  5850,"",  3675,"",  2175,"",
"Total income groups in 2020","    $90,000 to $99,999",,  4265,"",  2530,"",  1735,"",
"Total income groups in 2020","    $100,000 to $149,999",,  8260,"",  5285,"",  2975,"",
"Total income groups in 2020","    $150,000 and over",,  3775,"",  2785,"",   985,"",
"After-tax income groups in 2020","Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 25% sample data",12,189865,"", 93590,"", 96275,"",
"After-tax income groups in 2020","  With after-tax income",,180330,"", 88710,"", 91620,"",
"After-tax income groups in 2020","    Under $10,000 (including loss)",, 17340,"",  7230,"", 10105,"",
"After-tax income groups in 2020","    $10,000 to $19,999",, 25105,"", 10905,"", 14200,"",
"After-tax income groups in 2020","    $20,000 to $29,999",, 35715,"", 15630,"", 20075,"",
"After-tax income groups in 2020","    $30,000 to $39,999",, 30895,"", 14650,"", 16245,"",
"After-tax income groups in 2020","    $40,000 to $49,999",, 24825,"", 12950,"", 11875,"",
"After-tax income groups in 2020","    $50,000 to $59,999",, 16150,"",  8615,"",  7535,"",
"After-tax income groups in 2020","    $60,000 to $69,999",, 10380,"",  6045,"",  4340,"",
"After-tax income groups in 2020","    $70,000 to $79,999",,  6310,"",  3860,"",  2460,"",
"After-tax income groups in 2020","    $80,000 to $89,999",,  4575,"",  2655,"",  1920,"",
"After-tax income groups in 2020","    $90,000 to $99,999",,  2415,"",  1550,"",   865,"",
"After-tax income groups in 2020","    $100,000 and over",,  6620,"",  4605,"",  2010,"",
"Employment income groups in 2020","Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 25% sample data",13,189865,"", 93590,"", 96275,"",
"Employment income groups in 2020","  With employment income",,122960,"", 66835,"", 56135,"",
"Employment income groups in 2020","    Under $10,000 (including loss)",, 34090,"", 17875,"", 16215,"",
"Employment income groups in 2020","    $10,000 to $19,999",, 16375,"",  7870,"",  8505,"",
"Employment income groups in 2020","    $20,000 to $29,999",, 12470,"",  6190,"",  6280,"",
"Employment income groups in 2020","    $30,000 to $39,999",, 12445,"",  6275,"",  6175,"",
"Employment income groups in 2020","    $40,000 to $49,999",, 10970,"",  5830,"",  5140,"",
"Employment income groups in 2020","    $50,000 to $59,999",,  8865,"",  5020,"",  3845,"",
"Employment income groups in 2020","    $60,000 to $69,999",,  6445,"",  3795,"",  2650,"",
"Employment income groups in 2020","    $70,000 to $79,999",,  5090,"",  3335,"",  1750,"",
"Employment income groups in 2020","    $80,000 to $89,999",,  3920,"",  2450,"",  1475,"",
"Employment income groups in 2020","    $90,000 to $99,999",,  3410,"",  2015,"",  1385,"",
"Employment income groups in 2020","    $100,000 and over",,  8880,"",  6170,"",  2710,"",
"Income statistics in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",14,189865,"", 93590,"", 96275,"",
"Income statistics in 2020","  Number of total income recipients aged 15 years and over in private households - 25% sample data",,180240,"", 88660,"", 91580,"",
"Income statistics in 2020","    Average total income in 2020 among recipients ($)",, 45400,"", 51160,"", 39840,"",
"Income statistics in 2020","    Median total income in 2020 among recipients ($)",, 36400,"", 41200,"", 32800,"",
"Income statistics in 2020","  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data",,180330,"", 88710,"", 91620,"",
"Income statistics in 2020","    Average after-tax income in 2020 among recipients ($)",, 39760,"", 44120,"", 35520,"",
"Income statistics in 2020","    Median after-tax income in 2020 among recipients ($)",, 33600,"", 37200,"", 30800,"",
"Income statistics in 2020","  Number of employment income recipients aged 15 years and over in private households - 25% sample data",,122960,"", 66835,"", 56135,"",
"Income statistics in 2020","    Average employment income in 2020 among recipients ($)",, 39480,"", 43680,"", 34480,"",
"Income statistics in 2020","    Median employment income in 2020 among recipients ($)",, 28800,"", 32400,"", 25000,"",
"Income statistics in 2020","  Number of government transfers recipients aged 15 years and over in private households - 25% sample data",,169565,"", 83080,"", 86485,"",
"Income statistics in 2020","    Average government transfers in 2020 among recipients ($)",, 12400,"", 11120,"", 13640,"",
"Income statistics in 2020","    Median government transfers in 2020 among recipients ($)",, 11300,"",  9400,"", 12800,"",
"Income statistics in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data",, 24975,"", 12935,"", 12040,"",
"Income statistics in 2020","    Median employment insurance benefits in 2020 among recipients ($)",,  5480,"",  5520,"",  5480,"",
"Income statistics in 2020","    Average employment insurance benefits in 2020 among recipients ($)",,  6205,"",  6075,"",  6345,"",
"Income statistics in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data",, 62870,"", 32300,"", 30570,"",
"Income statistics in 2020","    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)",,  8000,"",  8000,"",  9000,"",
"Income statistics in 2020","    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)",,  9350,"",  9120,"",  9590,"",
"Employment income statistics in 2020","Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",13,189865,"", 93590,"", 96275,"",
"Employment income statistics in 2020","  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data",15, 46200,"", 26345,"", 19855,"",
"Employment income statistics in 2020","    Median employment income in 2020 for full-year full-time workers in 2020 ($)",16, 56800,"", 62000,"", 52000,"",
"Employment income statistics in 2020","    Average employment income in 2020 for full-year full-time workers in 2020 ($)",17, 67500,"", 73000,"", 60200,"",
"Employment income statistics in 2020","  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data",18, 53815,"", 27345,"", 26465,"",
"Employment income statistics in 2020","    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($)",, 18000,"", 21200,"", 15300,"",
"Employment income statistics in 2020","    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($)",, 26000,"", 29720,"", 22180,"",
"Employment income statistics in 2020","Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data",19,  100.0,"",  100.0,"",  100.0,"",
"Employment income statistics in 2020","  Market income (%)",20,   74.4,"",   79.6,"",   67.6,"",
"Employment income statistics in 2020","    Employment income (%)",21,   59.3,"",   64.4,"",   53.0,"",
"Employment income statistics in 2020","  Government transfers (%)",22,   25.7,"",   20.4,"",   32.3,"",
"Employment income statistics in 2020","    Employment insurance benefits (%)",23,    1.9,"",    1.7,"",    2.1,"",
"Employment income statistics in 2020","    COVID-19 - Government income support and benefits (%)",24,    8.1,"",    7.1,"",    9.4,"",
"Employment income statistics in 2020","      COVID-19 - Emergency and recovery benefits (%)",25,    7.2,"",    6.5,"",    8.0,"",
"Income statistics in 2019","Total - Income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data",26,189860,"", 93590,"", 96275,"",
"Income statistics in 2019","  Number of total income recipients aged 15 years and over in private households in 2019 - 25% sample data",,175630,"", 86185,"", 89445,"",
"Income statistics in 2019","    Median total income in 2019 among recipients ($)",, 33600,"", 39600,"", 29200,"",
"Income statistics in 2019","    Average total income in 2019 among recipients ($)",, 42480,"", 48520,"", 36680,"",
"Income statistics in 2019","  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 25% sample data",,175720,"", 86185,"", 89535,"",
"Income statistics in 2019","    Median after-tax income in 2019 among recipients ($)",, 31400,"", 36000,"", 27600,"",
"Income statistics in 2019","    Average after-tax income in 2019 among recipients ($)",, 36960,"", 41520,"", 32600,"",
"Income statistics in 2019","  Number of employment income recipients aged 15 years and over in private households in 2019 - 25% sample data",,121295,"", 65640,"", 55660,"",
"Income statistics in 2019","    Median employment income in 2019 among recipients ($)",, 32400,"", 36000,"", 29000,"",
"Income statistics in 2019","    Average employment income in 2019 among recipients ($)",, 41040,"", 45520,"", 35800,"",
"Income statistics in 2019","  Number of government transfers recipients aged 15 years and over in private households in 2019 - 25% sample data",,160190,"", 77860,"", 82325,"",
"Income statistics in 2019","    Median government transfers in 2019 among recipients ($)",,  4320,"",  2000,"",  7350,"",
"Income statistics in 2019","    Average government transfers in 2019 among recipients ($)",,  8280,"",  6990,"",  9500,"",
"Income statistics in 2019","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2019 - 25% sample data",, 17030,"",  9225,"",  7800,"",
"Income statistics in 2019","    Median employment insurance benefits in 2019 among recipients ($)",,  4400,"",  4160,"",  4720,"",
"Income statistics in 2019","    Average employment insurance benefits in 2019 among recipients ($)",,  5915,"",  5400,"",  6530,"",
"Employment income statistics in 2019","Total - Employment income statistics in 2019 for the population aged 15 years and over in private households - 25% sample data",27,189860,"", 93590,"", 96275,"",
"Employment income statistics in 2019","  Number of employment income recipients in 2019 who worked full-year full-time in 2020 - 25% sample data",15, 45565,"", 25910,"", 19655,"",
"Employment income statistics in 2019","    Median employment income in 2019 for full-year full-time workers in 2020 ($)",16, 54000,"", 59200,"", 48400,"",
"Employment income statistics in 2019","    Average employment income in 2019 for full-year full-time workers in 2020 ($)",28, 64200,"", 69900,"", 56550,"",
"Employment income statistics in 2019","  Number of employment income recipients in 2019 who worked part-year or part-time in 2020 - 25% sample data",29, 50090,"", 25415,"", 24675,"",
"Employment income statistics in 2019","    Median employment income in 2019 of those who worked part-year or part-time in 2020 ($)",, 25200,"", 30200,"", 21800,"",
"Employment income statistics in 2019","    Average employment income in 2019 of those who worked part-year or part-time in 2020 ($)",, 32160,"", 36640,"", 27560,"",
"Employment income statistics in 2019","Composition of total income in 2019 of the population aged 15 years and over in private households (%) - 25% sample data",30,  100.0,"",  100.0,"",  100.0,"",
"Employment income statistics in 2019","  Market income (%)",,   82.2,"",   87.0,"",   76.2,"",
"Employment income statistics in 2019","    Employment income (%)",,   66.8,"",   71.4,"",   60.7,"",
"Employment income statistics in 2019","  Government transfers (%)",,   17.8,"",   13.0,"",   23.8,"",
"Employment income statistics in 2019","    Employment insurance benefits (%)",,    1.4,"",    1.2,"",    1.6,"",
"Adjusted after-tax economic family income decile group in 2020","Total - Adjusted after-tax economic family income decile group in 2020 for the population in private households - 25% sample data",31,226460,"",112380,"",114080,"",
"Adjusted after-tax economic family income decile group in 2020","  In the bottom half of the distribution",,136825,"", 66870,"", 69955,"",
"Adjusted after-tax economic family income decile group in 2020","    In the bottom decile",, 31215,"", 15760,"", 15450,"",
"Adjusted after-tax economic family income decile group in 2020","    In the second decile",, 30930,"", 14215,"", 16715,"",
"Adjusted after-tax economic family income decile group in 2020","    In the third decile",, 27165,"", 13225,"", 13940,"",
"Adjusted after-tax economic family income decile group in 2020","    In the fourth decile",, 25305,"", 12665,"", 12640,"",
"Adjusted after-tax economic family income decile group in 2020","    In the fifth decile",, 22205,"", 10995,"", 11210,"",
"Adjusted after-tax economic family income decile group in 2020","  In the top half of the distribution",, 89635,"", 45510,"", 44125,"",
"Adjusted after-tax economic family income decile group in 2020","    In the sixth decile",, 21105,"", 10630,"", 10480,"",
"Adjusted after-tax economic family income decile group in 2020","    In the seventh decile",, 19650,"",  9955,"",  9695,"",
"Adjusted after-tax economic family income decile group in 2020","    In the eighth decile",, 18130,"",  9180,"",  8950,"",
"Adjusted after-tax economic family income decile group in 2020","    In the ninth decile",, 16340,"",  8345,"",  7995,"",
"Adjusted after-tax economic family income decile group in 2020","    In the top decile",, 14405,"",  7400,"",  7000,"",
"MBM poverty status in 2020","Total - MBM poverty status in 2020 for the population in private households to whom the low-income concept is applicable - 25% sample data",32,226460,"",112380,"",114080,"",
"MBM poverty status in 2020","  In poverty based on the Market Basket Measure (MBM)",, 24355,"", 13010,"", 11350,"",
"MBM poverty status in 2020","  Poverty rate based on the Market Basket Measure (MBM) (%)",33,   10.8,"",   11.6,"",    9.9,"",
"LIM low-income status in 2020","Total - LIM low-income status in 2020 for the population in private households - 25% sample data",34,226460,"",112380,"",114080,"",
"LIM low-income status in 2020","  In low income based on the Low-income measure, after tax (LIM-AT)",, 35380,"", 16915,"", 18460,"",
"LIM low-income status in 2020","  Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)",,   15.6,"",   15.1,"",   16.2,"",


Notes:
1,"""Gender"" refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman)."
,"Gender includes the following concepts:"
,"* gender identity, which refers to the gender that a person feels internally and individually;"
,"* gender expression, which refers to the way a person presents their gender, regardless of their gender identity, through body language, aesthetic choices or accessories (e.g., clothes, hairstyle and makeup), which may have traditionally been associated with a specific gender."
,"A person's gender may differ from their sex at birth, and from what is indicated on their current identification or legal documents such as their birth certificate, passport or driver's licence. A person's gender may change over time."
,"Some people may not identify with a specific gender."
,"Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses provided. In these cases, individuals in the category ""non-binary persons"" are distributed into the other two gender categories and are denoted by the ""+"" symbol."
2,"This category includes men (and/or boys), as well as some non-binary persons."
3,"This category includes women (and/or girls), as well as some non-binary persons."
11,"Total income - The sum of certain incomes (in cash and, in some circumstances, in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:"
,"* statistical units of social statistical programs such as persons, private households, census families and economic families;"
,"* statistical units of business statistical programs such as enterprises, companies, establishments and locations;"
,"* statistical units of farm statistical programs such as farm operator and farm family."
,"In the context of persons, total income refers to receipts from certain sources, before income taxes and deductions, during a specified reference period."
,"In the context of census families, total income refers to receipts from certain sources of all of its family members, before income taxes and deductions, during a specified reference period."
,"In the context of economic families, total income refers to receipts from certain sources of all of its family members, before income taxes and deductions, during a specified reference period."
,"In the context of households, total income refers to receipts from certain sources of all household members, before income taxes and deductions, during a specified reference period."
,"The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:"
,"* employment income from wages, salaries, tips, commissions and net income from self-employment (for both unincorporated farm and non-farm activities);"
,"* income from investment sources, such as dividends and interest on bonds, accounts, guaranteed investment certificates (GICs) and mutual funds;"
,"* income from employer and personal pension sources, such as private pensions and payments from annuities and registered retirement income funds (RRIFs);"
,"* other regular cash income, such as child support payments received, spousal support payments (alimony) received and scholarships;"
,"* income from government sources, such as social assistance, child benefits, Employment Insurance benefits, Old Age Security benefits, COVID-19 benefits and Canada Pension Plan and Québec Pension Plan benefits and disability income."
,"Receipts excluded from this income definition are:"
,"* one-time receipts, such as lottery winnings, gambling winnings, cash inheritances, lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;"
,"* capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;"
,"* employers' contributions to registered pension plans, Canada Pension Plan, Québec Pension Plan and Employment Insurance;"
,"* voluntary inter-household transfers, imputed rent, goods and services produced for barter and goods produced for own consumption."
,"For the 2021 Census, the reference period for income data is the calendar year 2020, unless otherwise specified."
12,"After-tax income - After-tax income refers to total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes, provincial and territorial income taxes, less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands."
,"For the 2021 Census, the reference period for income data is the calendar year 2020, unless otherwise specified."
13,"Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. For the 2021 Census, the reference period for income data is the calendar year 2020, unless otherwise specified."
14,"Total income - The sum of certain incomes (in cash and, in some circumstances, in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:"
,"* statistical units of social statistical programs such as persons, private households, census families and economic families;"
,"* statistical units of business statistical programs such as enterprises, companies, establishments and locations;"
,"* statistical units of farm statistical programs such as farm operator and farm family."
,"In the context of persons, total income refers to receipts from certain sources, before income taxes and deductions, during a specified reference period."
,"In the context of census families, total income refers to receipts from certain sources of all of its family members, before income taxes and deductions, during a specified reference period."
,"In the context of economic families, total income refers to receipts from certain sources of all of its family members, before income taxes and deductions, during a specified reference period."
,"In the context of households, total income refers to receipts from certain sources of all household members, before income taxes and deductions, during a specified reference period."
,"The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:"
,"* employment income from wages, salaries, tips, commissions and net income from self-employment (for both unincorporated farm and non-farm activities);"
,"* income from investment sources, such as dividends and interest on bonds, accounts, guaranteed investment certificates (GICs) and mutual funds;"
,"* income from employer and personal pension sources, such as private pensions and payments from annuities and registered retirement income funds (RRIFs);"
,"* other regular cash income, such as child support payments received, spousal support payments (alimony) received and scholarships;"
,"* income from government sources, such as social assistance, child benefits, Employment Insurance benefits, Old Age Security benefits, COVID-19 benefits and Canada Pension Plan and Québec Pension Plan benefits and disability income."
,"Receipts excluded from this income definition are:"
